Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 57.41      0.74     0.74    48872     0.00     0.00  Vector::dot(Vector&) const
 38.01      1.23     0.49 43575048     0.00     0.00  Vector::operator[](unsigned int)
  2.33      1.26     0.03        1     0.03     1.24  Analysis::correlation_coefficients(double*&, std::vector<Vector, std::allocator<Vector> >&, int, int, int)
  0.78      1.27     0.01  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  0.78      1.28     0.01     1024     0.00     0.00  Vector::mean() const
  0.78      1.29     0.01                             Vector::operator[](unsigned int) const
  0.00      1.29     0.00  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.00      1.29     0.00  1047552     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00      1.29     0.00   523776     0.00     0.00  std::setprecision(int)
  0.00      1.29     0.00    88822     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.00      1.29     0.00    43980     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      1.29     0.00    43174     0.00     0.00  double const& std::min<double>(double const&, double const&)
  0.00      1.29     0.00     2048     0.00     0.00  Vector::Vector(unsigned int)
  0.00      1.29     0.00     2048     0.00     0.00  Vector::~Vector()
  0.00      1.29     0.00     2048     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00      1.29     0.00     1028     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.29     0.00     1024     0.00     0.00  Vector::get_data()
  0.00      1.29     0.00     1024     0.00     0.00  Vector::magnitude()
  0.00      1.29     0.00     1024     0.00     0.00  Vector::Vector(Vector const&)
  0.00      1.29     0.00     1024     0.00     0.00  Vector::operator/(double)
  0.00      1.29     0.00     1024     0.00     0.00  Vector::operator-(double)
  0.00      1.29     0.00     1024     0.00     0.00  void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00      1.29     0.00     1024     0.00     0.00  void std::allocator_traits<std::allocator<Vector> >::construct<Vector, Vector const&>(std::allocator<Vector>&, Vector*, Vector const&)
  0.00      1.29     0.00     1024     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00      1.29     0.00     1024     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream&)
  0.00      1.29     0.00     1024     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&)
  0.00      1.29     0.00     1024     0.00     0.00  Vector* std::__addressof<Vector>(Vector&)
  0.00      1.29     0.00     1024     0.00     0.00  std::istream* std::__addressof<std::istream>(std::istream&)
  0.00      1.29     0.00     1024     0.00     0.00  std::iterator_traits<std::istream_iterator<double, char, std::char_traits<char>, long> >::iterator_category std::__iterator_category<std::istream_iterator<double, char, std::char_traits<char>, long> >(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00      1.29     0.00     1024     0.00     0.00  double* std::copy_n<std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*>(std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*)
  0.00      1.29     0.00     1024     0.00     0.00  void std::_Destroy<Vector>(Vector*)
  0.00      1.29     0.00     1024     0.00     0.00  double* std::__copy_n<std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*>(std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*, std::input_iterator_tag)
  0.00      1.29     0.00     1024     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
