Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 63.48      0.85     0.85    43641     0.02     0.03  Vector::dot(Vector&) const
 34.35      1.31     0.46 37275893     0.00     0.00  Vector::operator[](unsigned int)
  0.75      1.32     0.01  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  0.75      1.33     0.01    38442     0.00     0.00  double const& std::min<double>(double const&, double const&)
  0.75      1.34     0.01        1    10.01    10.01  Dataset::write(double*&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int)
  0.00      1.34     0.00  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.00      1.34     0.00  1047552     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00      1.34     0.00   523776     0.00     0.00  std::setprecision(int)
  0.00      1.34     0.00    79515     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.00      1.34     0.00    38476     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      1.34     0.00     2048     0.00     0.00  Vector::Vector(unsigned int)
  0.00      1.34     0.00     2048     0.00     0.00  Vector::~Vector()
  0.00      1.34     0.00     2048     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00      1.34     0.00     1027     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.34     0.00     1024     0.00     0.00  Vector::get_data()
  0.00      1.34     0.00     1024     0.00     0.03  Vector::magnitude()
  0.00      1.34     0.00     1024     0.00     0.00  Vector::Vector(Vector const&)
  0.00      1.34     0.00     1024     0.00     0.00  Vector::operator/(double)
  0.00      1.34     0.00     1024     0.00     0.00  Vector::operator-(double)
  0.00      1.34     0.00     1024     0.00     0.00  void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00      1.34     0.00     1024     0.00     0.00  Vector::mean() const
  0.00      1.34     0.00     1024     0.00     0.00  void std::allocator_traits<std::allocator<Vector> >::construct<Vector, Vector const&>(std::allocator<Vector>&, Vector*, Vector const&)
